"id","model_access","menu_access","category_id","color","comment","id","implied_ids","name","x_studio_boolean_field_0PIoY","rule_groups","share","users","view_access"
"account.group_account_invoice","account.bank.statement.group.invoice","Invoicing/Configuration/Invoicing,Invoicing/Accounting/Management,Invoicing/Reporting,Invoicing","Invoicing","0","","account.group_account_invoice","User types / Internal User","Billing","","Access every payment transaction,Access every payment token,Personal Invoice Lines,account.analytic.line.billing.user,Personal Invoices","","hitofuku8399,hototogisu8399,mailovemisa,maiptn.b8109,maiptn8399@gmail.com,meomaimaimeo,phamthingocmai","partner.view.buttons"
"","account.journal invoice","","","","","","","","","","","",""
"","account.move","","","","","","","","","","","",""
"","account.payment","","","","","","","","","","","",""
"","sale.order","","","","","","","","","","","",""
"","account.account invoice","","","","","","","","","","","",""
"","account.cash.rounding","","","","","","","","","","","",""
"","access.account.invoice.send","","","","","","","","","","","",""
"","access.account.move.reversal","","","","","","","","","","","",""
"","account.account.tag","","","","","","","","","","","",""
"","account.account.type invoice","","","","","","","","","","","",""
"","account.analytic.default invoice","","","","","","","","","","","",""
"","account.analytic.line invoice","","","","","","","","","","","",""
"","account.bank.statement.line.group.invoice","","","","","","","","","","","",""
"","account.edi.format","","","","","","","","","","","",""
"","account.edi.document","","","","","","","","","","","",""
"","account.full.reconcile.group.invoice","","","","","","","","","","","",""
"","account.invoice.report_billing","","","","","","","","","","","",""
"","account.move.line invoice","","","","","","","","","","","",""
"","account.partial.reconcile.group.invoice","","","","","","","","","","","",""
"","account.reconcile.model.partner.mapping.billing","","","","","","","","","","","",""
"","account.payment.method","","","","","","","","","","","",""
"","account.reconcile.model.billing","","","","","","","","","","","",""
"","access.account.payment.register","","","","","","","","","","","",""
"","account.reconcile.model.line.billing","","","","","","","","","","","",""
"","sale.order.line","","","","","","","","","","","",""
"","access_snailmail_confirm_invoice","","","","","","","","","","","",""
"","account.tax","","","","","","","","","","","",""
"","account.tax.group","","","","","","","","","","","",""
"","account.tax repartition.line.invoice","","","","","","","","","","","",""
"","access.validate.account.move","","","","","","","","","","","",""
"studio_customization.sales_pmo_manager_00edd323-620d-4d23-9f76-63ca513136b7","","Sales/Orders,Sales/Orders/Sales Teams,Sales/Products,Sales/Reporting,CRM/Leads,CRM,CRM/Reporting,CRM/Configuration","Sales","0","","studio_customization.sales_pmo_manager_00edd323-620d-4d23-9f76-63ca513136b7","Sales / User: Own Documents Only","PMO Manager","","PMO's All Sales Order Lines,PMO's All Sale Analysis Report,PMO's All Invoice Lines,PMO's Invoice Analysis,PMO's All Sales Order,All PMO Leads,PMO's All Invoices","","phamthingocmai",""
"pmo.pmo1","","","PMO","0","the user will have access to all records of everyone in the sales application.","pmo.pmo1","Sales / User: Own Documents Only","PMO1","","","","hitofuku8399,hototogisu8399,mailovemisa,meomaimaimeo,phamthingocmai",""
"pmo.pmo2","","","PMO","0","","pmo.pmo2","","PMO2","","","","",""
"__export__.res_groups_47_b71653ae","","CRM/Sales,CRM/Reporting/Leads,CRM/Sales/My Activities,CRM/Reporting/Pipeline,Sales/Orders/Sales Teams,CRM/Reporting/Activities,Sales/Reporting,CRM/Leads,CRM,CRM/Reporting,CRM/Configuration","Sales","0","","__export__.res_groups_47_b71653ae","Sales / User: Own Documents Only","Team Leader: All Team Documents","","Team's All Order Lines,Team's Sales Analysis Report,Team's All Invoice Lines,Team's Invoice Analysis,Team's All Orders,Team's All Leads,Team's All Invoices","","mailovemisa,meomaimaimeo",""
"__export__.res_groups_51_f1726e99","","","Sales","0","","__export__.res_groups_51_f1726e99","","User: All Following Documents","","All Following Order Lines,All Following Sales Analysis Report,All Following Invoice Lines,All Following Invoice Report,All Following Orders,All Following Leads,All Following Invoices","","mailovemisa,meomaimaimeo,phamthingocmai",""
